id,slug,name,movement_pattern,primary_muscles,secondary_muscles,contraindications,equipment_json,difficulty,description
,pull-up,Pull-Up,pull,"[""lats""]","[""biceps"",""upper_back"",""core""]",[],"[""pullup_bar"", ""bodyweight""]",advanced,Start from dead hang; pull chest up by driving elbows down and back.
,chin-up,Chin-Up,pull,"[""lats""]","[""biceps"",""upper_back"",""core""]",[],"[""pullup_bar"", ""bodyweight""]",intermediate,Supinated grip pull; keep ribs down and avoid swinging.
,lat-pulldown,Lat Pulldown,pull,"[""lats""]","[""biceps"",""upper_back""]",[],"[""cable_machine""]",beginner,Pull bar to upper chest by driving elbows down; keep torso stable.
,barbell-row,Barbell Row,pull,"[""upper_back""]","[""lats"",""biceps"",""erectors"",""core""]",[],"[""barbell""]",intermediate,Hinge to stable torso angle; row bar to lower ribs without jerking.
,one-arm-dumbbell-row,One-Arm Dumbbell Row,pull,"[""lats""]","[""upper_back"",""biceps"",""core""]",[],"[""dumbbell"", ""bench""]",beginner,Support on bench; row toward hip keeping shoulder packed and spine neutral.
,face-pull,Face Pull,pull,"[""rear_delts""]","[""upper_back"",""rotator_cuff""]",[],"[""cable_machine"", ""band""]",beginner,Pull toward face with elbows high; externally rotate and squeeze upper back.
,farmers-carry,Farmer's Carry,carry,"[""grip""]","[""traps"",""core"",""glutes""]",[],"[""dumbbell"", ""kettlebell""]",beginner,"Walk with heavy implements at sides; stay tall with steady, controlled steps."
,suitcase-carry,Suitcase Carry,carry,"[""core""]","[""grip"",""obliques"",""glutes""]",[],"[""dumbbell"", ""kettlebell""]",intermediate,Single-side carry; resist lateral bending and keep hips level.
,overhead-carry,Overhead Carry,carry,"[""shoulders""]","[""traps"",""core"",""glutes""]",[],"[""kettlebell"", ""dumbbell""]",advanced,Carry weight overhead with locked-out elbow; maintain stacked posture.
,plank,Plank,core,"[""core""]","[""glutes"",""shoulders""]",[],"[""bodyweight""]",beginner,Forearms on floor; keep ribs down and pelvis tucked to maintain neutral spine.
,side-plank,Side Plank,core,"[""obliques""]","[""glutes"",""shoulders""]",[],"[""bodyweight""]",beginner,Elbow under shoulder; lift hips and keep body in a straight line.
,dead-bug,Dead Bug,core,"[""core""]","[""hip_flexors""]",[],"[""bodyweight""]",beginner,Supine; brace and extend opposite arm/leg without low-back lifting.
,hollow-hold,Hollow Hold,core,"[""core""]","[""hip_flexors""]",[],"[""bodyweight""]",intermediate,Posterior pelvic tilt; hold hollow body position with low back pressed down.
,pallof-press,Pallof Press,core,"[""core""]","[""obliques"",""glutes""]",[],"[""cable_machine"", ""band""]",beginner,Anti-rotation press; extend arms without letting torso rotate.
,hanging-knee-raise,Hanging Knee Raise,core,"[""core""]","[""hip_flexors"",""grip"",""lats""]",[],"[""pullup_bar"", ""bodyweight""]",intermediate,"Hang with control; lift knees by curling pelvis, avoiding swinging."
